rank,txn_id,risk_score,primary_driver,driver_contribution,amount,outcome,actual_typology
2403,8395097,0.9823,beneficiary payment count (7d),2.022,11246.12,True positive,Structuring
2404,9265736,0.9823,beneficiary payment count (7d),2.047,6411.84,False positive,Normal_Plus_Mutual
2405,8453028,0.9823,beneficiary payment count (7d),1.995,8475.0,False positive,Normal_Group
2406,8074983,0.9822,beneficiary payment count (7d),1.674,9103.05,False positive,Normal_Group
2407,8632731,0.9822,sender velocity (30d),1.963,3134.32,True positive,Gather-Scatter
2408,7329474,0.9822,sender velocity (30d),1.772,9495.1,False positive,Normal_Plus_Mutual
2409,9359402,0.9822,sender velocity (24h),0.565,2131.27,True positive,Smurfing
2410,8428175,0.9822,beneficiary payment count (7d),1.882,6056.24,False positive,Normal_Plus_Mutual
2411,9157755,0.9822,sender fan-out (30d),2.436,7541.19,True positive,Structuring
2412,7502583,0.9822,sender velocity (30d),1.768,5361.24,False positive,Normal_Plus_Mutual
2413,8974729,0.9822,beneficiary payment count (7d),2.166,4916.41,True positive,Layered_Fan_Out
2414,8253652,0.9821,sender fan-out (30d),2.363,5291.65,False positive,Normal_Foward
2415,9382742,0.9821,sender velocity (30d),1.619,3423.22,False positive,Normal_Plus_Mutual
2416,7963921,0.9821,beneficiary payment count (7d),2.169,1487.12,False positive,Normal_Group
2417,8390979,0.9821,beneficiary payment count (7d),2.342,27724.36,False positive,Normal_Mutual
2418,8229539,0.9821,beneficiary payment count (7d),2.051,2637.54,True positive,Structuring
2419,9490410,0.982,beneficiary payment count (7d),2.088,7500.03,False positive,Normal_Plus_Mutual
2420,9233998,0.982,sender fan-out (30d),1.152,95.08,True positive,Cash_Withdrawal
2421,7973524,0.982,beneficiary payment count (7d),2.076,7064.1,False positive,Normal_Plus_Mutual
2422,7182449,0.982,beneficiary payment count (7d),1.911,9855.73,False positive,Normal_Mutual
2423,8641949,0.982,sender fan-out (30d),2.353,12659.21,False positive,Normal_Foward
2424,7769125,0.982,sender velocity (30d),1.828,4826.49,False positive,Normal_Plus_Mutual
2425,8280534,0.9819,beneficiary payment count (7d),1.809,4472.92,False positive,Normal_Plus_Mutual
2426,7756720,0.9819,beneficiary payment count (7d),1.802,4190.83,False positive,Normal_Plus_Mutual
2427,9155531,0.9819,sender fan-out (30d),2.385,5955.95,True positive,Stacked Bipartite
2428,7450624,0.9818,beneficiary payment count (7d),1.425,28096.98,False positive,Normal_Mutual
2429,7100609,0.9818,beneficiary payment count (7d),2.017,6742.42,False positive,Normal_Plus_Mutual
2430,9419494,0.9817,sender fan-out (30d),1.603,4089.58,True positive,Gather-Scatter
2431,7093118,0.9817,beneficiary payment count (7d),1.88,4070.69,False positive,Normal_Plus_Mutual
2432,7383873,0.9817,beneficiary payment count (7d),2.043,4699.52,False positive,Normal_Plus_Mutual
2433,9003922,0.9817,beneficiary payment count (7d),2.323,9205.54,False positive,Normal_Mutual
2434,9465595,0.9817,beneficiary payment count (7d),1.603,20367.79,False positive,Normal_Group
2435,8588063,0.9816,beneficiary payment count (7d),2.195,18574.92,False positive,Normal_Mutual
2436,7616514,0.9816,beneficiary payment count (7d),1.88,9326.46,True positive,Structuring
2437,7912968,0.9816,beneficiary payment count (7d),1.881,6713.01,False positive,Normal_Mutual
2438,9366032,0.9816,sender velocity (30d),1.771,8790.08,True positive,Fan_In
2439,8251924,0.9816,beneficiary payment count (7d),2.073,7693.95,False positive,Normal_Group
2440,8917549,0.9816,sender velocity (30d),1.314,25631.75,True positive,Deposit-Send
2441,9481737,0.9816,beneficiary payment count (7d),1.813,39484.15,False positive,Normal_Plus_Mutual
2442,8452410,0.9816,sender fan-out (30d),1.004,3784.49,True positive,Smurfing
2443,8288448,0.9815,sender velocity (30d),2.088,3439.21,False positive,Normal_Group
2444,7261185,0.9815,sender velocity (30d),1.831,24427.95,False positive,Normal_Mutual
2445,7376097,0.9815,beneficiary payment count (7d),1.869,14418.66,False positive,Normal_Mutual
2446,9124254,0.9815,sender velocity (30d),1.752,5693.0,False positive,Normal_Plus_Mutual
2447,9156366,0.9815,beneficiary payment count (7d),1.837,3336.08,False positive,Normal_Plus_Mutual
2448,7820578,0.9815,beneficiary payment count (7d),1.81,3827.99,False positive,Normal_Group
2449,7181933,0.9815,beneficiary payment count (7d),1.861,8326.05,True positive,Structuring
2450,8901384,0.9815,beneficiary payment count (7d),1.808,2222.72,False positive,Normal_Group
2451,8295828,0.9815,beneficiary payment count (7d),1.891,18856.59,False positive,Normal_Group
2452,8063995,0.9814,sender velocity (30d),1.727,6150.55,False positive,Normal_Mutual
2453,8548936,0.9814,beneficiary payment count (7d),2.208,30621.57,False positive,Normal_Mutual
2454,8712547,0.9814,sender velocity (30d),2.105,9196.52,False positive,Normal_Group
2455,9216636,0.9814,sender fan-out (30d),2.496,7030.2,False positive,Normal_Foward
2456,7489556,0.9814,beneficiary payment count (7d),2.03,10732.04,False positive,Normal_Group
2457,7260859,0.9813,sender velocity (30d),1.635,41900.82,False positive,Normal_Mutual
2458,8588208,0.9813,beneficiary payment count (7d),1.998,7912.96,False positive,Normal_Group
2459,8142852,0.9813,sender fan-out (30d),2.352,130.4,True positive,Cash_Withdrawal
2460,8858035,0.9813,beneficiary payment count (7d),2.007,3834.29,False positive,Normal_Plus_Mutual
2461,7919748,0.9812,sender velocity (30d),1.897,5487.14,False positive,Normal_Group
2462,7501863,0.9812,sender velocity (30d),1.817,15275.05,False positive,Normal_Mutual
2463,8408233,0.9812,sender fan-out (7d),2.018,12351.11,False positive,Normal_Group
2464,7137168,0.9812,beneficiary payment count (7d),2.31,6058.01,False positive,Normal_Mutual
2465,9299747,0.9812,beneficiary payment count (7d),1.61,6643.0,False positive,Normal_Small_Fan_Out
2466,9380785,0.9812,beneficiary payment count (7d),1.88,1672.32,False positive,Normal_Group
2467,7383968,0.9811,sender velocity (30d),1.786,8728.71,False positive,Normal_Plus_Mutual
2468,9042656,0.9811,beneficiary payment count (7d),1.904,3074.84,True positive,Fan_In
2469,7901098,0.9811,beneficiary payment count (7d),1.833,3851.66,False positive,Normal_Plus_Mutual
2470,8861867,0.9811,sender fan-out (30d),1.781,46361.97,False positive,Normal_Mutual
2471,7355111,0.9811,beneficiary payment count (7d),1.832,5652.02,True positive,Structuring
2472,8373592,0.9811,sender velocity (30d),1.219,17861.84,False positive,Normal_Foward
2473,9005745,0.9811,beneficiary payment count (7d),1.935,7060.74,False positive,Normal_Plus_Mutual
2474,7541223,0.9811,beneficiary payment count (7d),1.647,954.51,True positive,Behavioural_Change_1
2475,7305011,0.9811,sender fan-out (30d),2.358,512838.11,False positive,Normal_single_large
2476,7432534,0.9811,sender fan-out (30d),2.408,3574.01,True positive,Smurfing
2477,8466294,0.9811,sender fan-out (30d),2.448,181816.5,False positive,Normal_single_large
2478,9323567,0.9811,beneficiary payment count (7d),1.781,5415.21,False positive,Normal_Group
2479,7684142,0.981,sender velocity (30d),1.747,8886.21,False positive,Normal_Plus_Mutual
2480,7805092,0.981,sender fan-out (30d),2.187,7070.92,True positive,Stacked Bipartite
2481,8020544,0.981,sender velocity (30d),1.758,12763.35,False positive,Normal_Mutual
2482,7073127,0.981,beneficiary payment count (7d),1.901,2608.4,False positive,Normal_Group
2483,8114398,0.981,beneficiary payment count (7d),1.86,9129.06,False positive,Normal_Plus_Mutual
2484,9422629,0.9809,beneficiary payment count (7d),1.727,2394.93,True positive,Behavioural_Change_2
2485,8969906,0.9809,beneficiary payment count (7d),1.842,5655.39,False positive,Normal_Group
2486,9270981,0.9809,sender fan-out (30d),2.434,100211.49,False positive,Normal_Plus_Mutual
2487,7482354,0.9809,beneficiary payment count (7d),1.403,22591.75,False positive,Normal_Small_Fan_Out
2488,7906819,0.9808,beneficiary payment count (7d),2.02,8805.3,False positive,Normal_Plus_Mutual
2489,7358134,0.9808,beneficiary payment count (7d),1.98,3204.74,True positive,Behavioural_Change_2
2490,8398148,0.9808,beneficiary payment count (7d),2.037,3420.06,False positive,Normal_Group
2491,8931603,0.9808,sender fan-out (30d),2.291,8427.74,False positive,Normal_Mutual
2492,8753613,0.9808,sender velocity (30d),1.726,4640.52,False positive,Normal_Plus_Mutual
2493,7379117,0.9808,beneficiary payment count (7d),1.883,7937.91,True positive,Structuring
2494,7334744,0.9808,beneficiary payment count (7d),1.853,9147.48,False positive,Normal_Plus_Mutual
2495,7498368,0.9808,"sub-7,000 density (30d)",1.06,121.4,True positive,Cash_Withdrawal
2496,9068680,0.9808,sender fan-out (30d),0.693,1699.44,True positive,Smurfing
2497,7109358,0.9808,beneficiary payment count (7d),1.933,5725.53,False positive,Normal_Plus_Mutual
2498,9120926,0.9807,beneficiary distinct senders (30d),1.429,62.13,True positive,Cash_Withdrawal
2499,7704280,0.9807,beneficiary payment count (7d),1.862,6339.12,False positive,Normal_Plus_Mutual
2500,7817511,0.9807,sender velocity (30d),1.324,64677.17,False positive,Normal_Mutual
2501,8457985,0.9807,beneficiary payment count (7d),1.863,13997.05,False positive,Normal_Plus_Mutual
2502,9498505,0.9807,sender velocity (30d),1.375,400756.14,False positive,Normal_Plus_Mutual
2503,7307008,0.9807,beneficiary payment count (7d),1.637,3891.59,False positive,Normal_Group
2504,8088083,0.9807,sender velocity (30d),1.804,17788.6,False positive,Normal_Mutual
2505,8768740,0.9807,sender fan-out (30d),2.368,8239.06,False positive,Normal_Periodical
2506,7099831,0.9807,beneficiary payment count (7d),1.798,12085.35,False positive,Normal_Mutual
2507,7920816,0.9807,sender velocity (30d),1.835,10062.04,False positive,Normal_Mutual
2508,8199493,0.9806,sender velocity (30d),1.805,25300.58,False positive,Normal_Mutual
2509,8395796,0.9806,sender velocity (30d),1.8,9464.9,True positive,Structuring
2510,8775476,0.9806,beneficiary payment count (7d),1.882,8897.32,False positive,Normal_Plus_Mutual
2511,8610003,0.9806,sender velocity (30d),1.673,3531.12,False positive,Normal_Plus_Mutual
2512,8721303,0.9806,sender fan-out (30d),2.382,436560.74,False positive,Normal_Plus_Mutual
2513,7229470,0.9806,sender fan-out (30d),2.543,59015.16,True positive,Cycle
2514,9117193,0.9805,sender velocity (30d),1.976,28702.18,False positive,Normal_Mutual
2515,7803767,0.9805,beneficiary payment count (7d),1.809,815.85,True positive,Behavioural_Change_2
2516,8009083,0.9805,sender velocity (30d),1.655,3363.09,True positive,Structuring
2517,8371336,0.9805,sender velocity (30d),1.737,3180.7,False positive,Normal_Mutual
2518,7234812,0.9804,beneficiary payment count (7d),2.212,18083.57,False positive,Normal_Mutual
2519,9462378,0.9804,sender velocity (30d),1.719,8246.2,False positive,Normal_Plus_Mutual
2520,7705962,0.9804,beneficiary payment count (7d),1.628,2193.57,False positive,Normal_Group
2521,8563222,0.9804,sender velocity (30d),2.102,3745.07,True positive,Structuring
2522,9111574,0.9804,beneficiary payment count (7d),2.231,13320.84,False positive,Normal_Mutual
2523,8212858,0.9804,beneficiary payment count (7d),2.045,1834.03,True positive,Behavioural_Change_1
2524,8586795,0.9803,pass-through ratio (7d),1.427,40880.65,True positive,Cycle
2525,7573954,0.9803,beneficiary payment count (7d),1.808,4743.2,False positive,Normal_Plus_Mutual
2526,8101746,0.9803,beneficiary payment count (7d),1.888,1409.96,True positive,Behavioural_Change_2
2527,8089232,0.9803,beneficiary payment count (7d),2.274,33186.01,False positive,Normal_Mutual
2528,8062781,0.9802,sender velocity (30d),1.673,6174.26,False positive,Normal_Plus_Mutual
2529,8187768,0.9802,beneficiary payment count (7d),1.884,4405.43,True positive,Structuring
2530,9190566,0.9802,sender velocity (30d),1.747,9975.76,False positive,Normal_Plus_Mutual
2531,7066489,0.9802,sender velocity (30d),1.814,52426.24,False positive,Normal_Plus_Mutual
2532,7365048,0.9802,beneficiary payment count (7d),1.556,4589.2,False positive,Normal_Group
2533,8423993,0.9802,sender velocity (30d),1.834,35224.25,False positive,Normal_Mutual
2534,9397261,0.9802,beneficiary payment count (7d),1.853,17882.36,False positive,Normal_Plus_Mutual
2535,7049748,0.9802,sender velocity (30d),1.453,3143.47,False positive,Normal_Plus_Mutual
2536,9201742,0.9801,sender velocity (30d),1.61,5023.64,False positive,Normal_Plus_Mutual
2537,7810805,0.9801,beneficiary payment count (7d),1.879,2102.51,False positive,Normal_Group
2538,8473024,0.9801,beneficiary payment count (7d),2.331,13392.09,False positive,Normal_Mutual
2539,8466379,0.9801,beneficiary payment count (7d),1.878,4911.56,False positive,Normal_Plus_Mutual
2540,7274404,0.9801,beneficiary payment count (7d),1.869,4583.63,False positive,Normal_Plus_Mutual
2541,7507443,0.9801,beneficiary payment count (7d),1.624,2602.65,False positive,Normal_Group
2542,9075904,0.9801,sender velocity (30d),1.817,3709.58,False positive,Normal_Plus_Mutual
2543,9062862,0.9801,sender velocity (30d),1.613,5400.24,False positive,Normal_Plus_Mutual
2544,9337186,0.9801,sender fan-out (30d),2.58,53972.0,False positive,Normal_Mutual
2545,8951498,0.98,beneficiary payment count (7d),1.372,26028.98,False positive,Normal_Mutual
2546,8990868,0.98,beneficiary payment count (7d),1.972,479.2,False positive,Normal_Group
2547,8179257,0.98,sender fan-out (30d),1.182,269.75,True positive,Cash_Withdrawal
2548,7854434,0.9799,sender velocity (30d),1.783,60470.48,False positive,Normal_Mutual
2549,7762363,0.9799,beneficiary payment count (7d),1.958,5697.25,False positive,Normal_Mutual
2550,7377934,0.9799,sender velocity (30d),1.601,16925.08,False positive,Normal_Plus_Mutual
2551,7560531,0.9799,beneficiary payment count (7d),1.895,3571.74,False positive,Normal_Plus_Mutual
2552,8297077,0.9799,sender velocity (30d),1.839,5318.66,False positive,Normal_Plus_Mutual
2553,7957723,0.9799,beneficiary payment count (7d),2.037,1911.6,False positive,Normal_Group
2554,8863595,0.9799,sender velocity (30d),1.709,5600.11,False positive,Normal_Plus_Mutual
2555,7600289,0.9799,beneficiary payment count (7d),1.881,5105.76,False positive,Normal_Mutual
2556,7870563,0.9798,sender velocity (30d),1.905,3765.4,False positive,Normal_Group
2557,7476474,0.9798,beneficiary payment count (7d),1.875,5471.65,False positive,Normal_Plus_Mutual
2558,9495285,0.9798,sender fan-out (30d),2.392,440259.94,False positive,Normal_Plus_Mutual
2559,9063766,0.9798,sender fan-out (30d),1.951,6478.88,True positive,Deposit-Send
2560,8168427,0.9798,sender velocity (30d),1.438,3861.58,False positive,Normal_Plus_Mutual
2561,7973944,0.9798,beneficiary distinct senders (30d),1.754,79367.69,False positive,Normal_Mutual
2562,7672966,0.9798,sender velocity (30d),1.51,5977.86,False positive,Normal_Plus_Mutual
2563,7479533,0.9798,beneficiary payment count (7d),2.023,7181.91,False positive,Normal_Plus_Mutual
2564,7782046,0.9797,sender velocity (30d),1.664,5361.85,False positive,Normal_Mutual
2565,8268271,0.9797,beneficiary payment count (7d),2.159,35672.6,False positive,Normal_Mutual
2566,8611159,0.9797,beneficiary payment count (7d),1.882,8115.95,True positive,Structuring
2567,8002941,0.9797,sender fan-out (30d),2.219,4708.82,False positive,Normal_Fan_Out
2568,8600867,0.9797,beneficiary payment count (7d),1.689,6005.95,False positive,Normal_Group
2569,9236320,0.9797,beneficiary payment count (7d),1.825,3630.4,False positive,Normal_Plus_Mutual
2570,8547060,0.9796,beneficiary payment count (7d),1.867,12431.25,False positive,Normal_Group
2571,9128280,0.9796,beneficiary payment count (7d),1.875,6393.73,False positive,Normal_Plus_Mutual
2572,7449157,0.9796,beneficiary payment count (7d),1.68,5394.47,False positive,Normal_Plus_Mutual
2573,9236868,0.9795,beneficiary payment count (7d),1.878,7920.24,False positive,Normal_Plus_Mutual
2574,7151951,0.9795,beneficiary payment count (7d),2.039,4253.1,False positive,Normal_Plus_Mutual
2575,7150406,0.9795,beneficiary payment count (7d),1.846,8340.06,True positive,Fan_In
2576,7339991,0.9795,sender velocity (30d),1.684,13428.48,False positive,Normal_Mutual
2577,7961281,0.9795,beneficiary payment count (7d),1.9,2166.44,False positive,Normal_Group
2578,9146498,0.9795,beneficiary payment count (7d),1.64,13222.3,False positive,Normal_Small_Fan_Out
2579,9450909,0.9794,sender fan-out (30d),0.846,2390.73,True positive,Smurfing
2580,9447494,0.9794,sender fan-out (30d),0.849,3184.5,True positive,Smurfing
2581,7174667,0.9794,beneficiary payment count (7d),2.207,33526.34,False positive,Normal_Mutual
2582,7700730,0.9794,beneficiary payment count (7d),1.816,2757.69,True positive,Structuring
2583,7417022,0.9794,sender fan-out (30d),1.064,2735.93,True positive,Smurfing
2584,7641663,0.9793,sender fan-out (30d),2.263,13836.01,False positive,Normal_Periodical
2585,9253643,0.9793,sender velocity (30d),1.724,6067.01,False positive,Normal_Plus_Mutual
2586,9411729,0.9793,sender velocity (30d),1.789,10113.13,False positive,Normal_Mutual
2587,7339436,0.9793,beneficiary payment count (7d),1.759,1499.28,False positive,Normal_Group
2588,7690479,0.9793,beneficiary payment count (7d),1.732,517.42,True positive,Behavioural_Change_2
2589,7069591,0.9793,beneficiary payment count (7d),2.033,1755.13,False positive,Normal_Group
2590,7260517,0.9793,beneficiary payment count (7d),1.865,6240.45,False positive,Normal_Plus_Mutual
2591,8587562,0.9793,sender velocity (30d),1.774,20991.93,False positive,Normal_Mutual
2592,8784528,0.9793,sender velocity (30d),1.895,2185.42,False positive,Normal_Group
2593,8207721,0.9792,beneficiary payment count (7d),1.927,8768.85,False positive,Normal_Plus_Mutual
2594,7411599,0.9792,beneficiary payment count (7d),1.827,3112.56,False positive,Normal_Group
2595,8840741,0.9792,beneficiary payment count (7d),1.918,3197.71,False positive,Normal_Group
2596,9222031,0.9792,beneficiary payment count (7d),2.274,59121.68,False positive,Normal_Mutual
2597,9188092,0.9792,sender fan-out (30d),2.455,168541.6,False positive,Normal_single_large
2598,7700298,0.9792,sender velocity (30d),1.744,8730.9,False positive,Normal_Plus_Mutual
2599,8295054,0.9792,sender velocity (30d),1.721,8524.92,False positive,Normal_Plus_Mutual
2600,8521103,0.9792,beneficiary payment count (7d),1.892,7477.72,True positive,Structuring
2601,7699393,0.9792,beneficiary payment count (7d),1.828,2786.34,False positive,Normal_Group
2602,7054619,0.9791,beneficiary payment count (7d),2.114,9933.63,False positive,Normal_Plus_Mutual
2603,7540561,0.9791,beneficiary payment count (7d),1.481,5243.26,False positive,Normal_Group
2604,7969636,0.9791,beneficiary payment count (7d),1.937,5725.19,False positive,Normal_Plus_Mutual
2605,8299246,0.9791,sender velocity (30d),1.365,5494.71,False positive,Normal_Periodical
2606,8199093,0.9791,beneficiary payment count (7d),2.602,4027.8,False positive,Normal_Group
2607,7215578,0.9791,beneficiary payment count (7d),1.83,23492.27,False positive,Normal_Plus_Mutual
2608,7616799,0.9791,beneficiary payment count (7d),1.839,4039.36,False positive,Normal_Plus_Mutual
2609,7317503,0.979,beneficiary payment count (7d),2.231,11717.53,False positive,Normal_Mutual
2610,7507135,0.979,beneficiary payment count (7d),1.985,2635.39,False positive,Normal_Group
2611,7207702,0.979,sender fan-out (30d),2.092,57.74,True positive,Cash_Withdrawal
2612,8031551,0.979,beneficiary payment count (7d),1.824,5371.09,False positive,Normal_Plus_Mutual
2613,7246840,0.979,sender fan-out (30d),2.206,10437.28,False positive,Normal_Plus_Mutual
2614,8066209,0.979,sender velocity (30d),1.79,28885.99,False positive,Normal_Mutual
2615,8807211,0.979,beneficiary payment count (7d),1.869,6563.19,False positive,Normal_Plus_Mutual
2616,8440348,0.9789,beneficiary payment count (7d),1.848,11103.82,False positive,Normal_Plus_Mutual
2617,7259848,0.9789,beneficiary payment count (7d),1.777,4015.91,False positive,Normal_Group
2618,7564695,0.9789,sender velocity (30d),2.075,2847.23,False positive,Normal_Group
2619,9221980,0.9789,beneficiary payment count (7d),1.907,3179.93,False positive,Normal_Group
2620,7950055,0.9789,beneficiary payment count (7d),2.04,2835.06,True positive,Behavioural_Change_1
2621,7198553,0.9789,beneficiary payment count (7d),2.046,9235.33,False positive,Normal_Plus_Mutual
2622,7606569,0.9788,sender velocity (30d),2.066,9376.68,False positive,Normal_Group
2623,7736307,0.9788,beneficiary payment count (7d),1.867,9371.45,False positive,Normal_Plus_Mutual
2624,8677196,0.9788,sender velocity (30d),1.812,74997.77,False positive,Normal_Mutual
2625,7117585,0.9788,beneficiary payment count (7d),2.264,11495.03,True positive,Fan_Out
2626,7319196,0.9788,"sub-7,000 density (30d)",1.357,28687.39,False positive,Normal_Mutual
2627,8424138,0.9788,sender fan-out (30d),0.876,2863.86,True positive,Smurfing
2628,8871292,0.9787,sender velocity (30d),1.81,5719.91,False positive,Normal_Plus_Mutual
2629,7306308,0.9787,sender velocity (30d),1.808,6352.81,False positive,Normal_Plus_Mutual
2630,8557902,0.9787,beneficiary payment count (7d),1.92,8579.38,False positive,Normal_Plus_Mutual
2631,8749030,0.9787,beneficiary payment count (7d),2.241,10247.41,False positive,Normal_Mutual
2632,7159088,0.9787,sender fan-out (30d),2.118,256.02,True positive,Cash_Withdrawal
2633,7197870,0.9787,pass-through ratio (7d),1.466,18717.31,False positive,Normal_Foward
2634,7720580,0.9787,sender velocity (30d),1.745,4275.09,False positive,Normal_Plus_Mutual
2635,8789262,0.9787,beneficiary payment count (7d),1.843,7387.75,False positive,Normal_Plus_Mutual
2636,8617678,0.9787,beneficiary payment count (7d),2.319,8463.86,False positive,Normal_Mutual
2637,9344979,0.9786,sender velocity (30d),1.998,7841.46,True positive,Structuring
2638,8091537,0.9786,beneficiary payment count (7d),1.905,10149.44,False positive,Normal_Plus_Mutual
2639,9346210,0.9786,sender velocity (30d),1.673,3846.85,False positive,Normal_Plus_Mutual
2640,7714250,0.9786,sender fan-out (30d),1.959,92.86,True positive,Cash_Withdrawal
2641,7826193,0.9786,beneficiary payment count (7d),1.759,4792.35,True positive,Behavioural_Change_2
2642,7879022,0.9786,beneficiary payment count (7d),1.95,3211.59,False positive,Normal_Group
2643,9055308,0.9786,sender fan-out (30d),1.105,117.6,True positive,Cash_Withdrawal
2644,9244079,0.9785,beneficiary payment count (7d),1.984,4853.75,False positive,Normal_Group
2645,7763073,0.9785,beneficiary payment count (7d),1.816,16799.99,True positive,Fan_In
2646,9457749,0.9785,sender fan-out (30d),2.315,533790.78,False positive,Normal_single_large
2647,9479502,0.9785,beneficiary payment count (7d),1.76,11550.81,False positive,Normal_Plus_Mutual
2648,8172181,0.9784,sender velocity (30d),1.674,9042.11,False positive,Normal_Mutual
2649,7543433,0.9784,sender velocity (30d),1.686,41813.27,True positive,Layered_Fan_In
2650,8366958,0.9784,beneficiary payment count (7d),1.414,1449.15,False positive,Normal_Small_Fan_Out
2651,7480057,0.9784,sender velocity (30d),1.867,3054.21,False positive,Normal_Group
2652,8105386,0.9784,sender velocity (30d),1.72,9661.18,False positive,Normal_Plus_Mutual
2653,7124975,0.9784,beneficiary payment count (7d),1.786,5433.83,False positive,Normal_Group
2654,9215829,0.9784,sender velocity (30d),1.706,5413.77,False positive,Normal_Plus_Mutual
2655,9429874,0.9784,sender velocity (30d),2.04,3962.41,True positive,Structuring
2656,8515434,0.9784,beneficiary payment count (7d),2.006,23828.63,False positive,Normal_Mutual
2657,7595830,0.9784,sender velocity (30d),1.587,4099.09,False positive,Normal_Plus_Mutual
2658,8207089,0.9784,beneficiary payment count (7d),1.345,4077.8,False positive,Normal_Small_Fan_Out
2659,8183094,0.9784,beneficiary payment count (7d),1.719,5000.77,False positive,Normal_Fan_In
2660,8919537,0.9784,sender velocity (30d),1.604,4733.44,False positive,Normal_Plus_Mutual
2661,9001740,0.9783,beneficiary payment count (7d),1.839,44398.62,False positive,Normal_Mutual
2662,8707701,0.9783,beneficiary payment count (7d),2.295,3857.57,False positive,Normal_Mutual
2663,9109173,0.9783,sender fan-out (30d),2.601,487632.37,False positive,Normal_Plus_Mutual
2664,7162632,0.9783,sender fan-out (30d),1.086,4239.85,False positive,Normal_Cash_Deposits
2665,7530855,0.9783,beneficiary payment count (7d),1.871,9208.6,False positive,Normal_Plus_Mutual
2666,7248807,0.9783,beneficiary payment count (7d),2.035,11707.4,False positive,Normal_Mutual
2667,7344791,0.9783,sender velocity (30d),1.659,4258.64,False positive,Normal_Mutual
2668,9013613,0.9782,beneficiary payment count (7d),1.925,6226.21,False positive,Normal_Plus_Mutual
2669,8946806,0.9782,sender velocity (30d),1.722,4798.96,False positive,Normal_Plus_Mutual
2670,9278211,0.9782,beneficiary payment count (7d),1.836,3944.09,False positive,Normal_Mutual
2671,8909980,0.9782,sender velocity (30d),1.766,4981.57,False positive,Normal_Group
2672,7379884,0.9781,beneficiary payment count (7d),1.852,13306.13,False positive,Normal_Mutual
2673,8408174,0.9781,beneficiary payment count (7d),1.837,35496.84,False positive,Normal_Mutual
2674,9268797,0.9781,sender velocity (30d),1.91,30244.21,False positive,Normal_Mutual
2675,7233318,0.9781,beneficiary payment count (7d),1.704,14661.51,False positive,Normal_Group
2676,7847787,0.9781,beneficiary payment count (7d),2.5,69425.46,False positive,Normal_Mutual
2677,8673174,0.9781,beneficiary payment count (7d),2.007,2563.14,False positive,Normal_Plus_Mutual
2678,7879910,0.9781,sender velocity (30d),1.746,4443.54,False positive,Normal_Mutual
2679,9178992,0.9781,sender fan-out (30d),2.355,186646.94,False positive,Normal_Plus_Mutual
2680,9175699,0.9781,sender velocity (30d),1.796,8465.77,False positive,Normal_Mutual
2681,9472574,0.978,beneficiary distinct senders (30d),1.837,8975.7,False positive,Normal_Mutual
2682,8625551,0.978,sender velocity (30d),1.879,5922.79,False positive,Normal_Mutual
2683,9072001,0.978,sender fan-out (30d),2.515,15890.47,True positive,Fan_In
2684,8905833,0.978,beneficiary payment count (7d),1.928,3458.63,False positive,Normal_Plus_Mutual
2685,7137801,0.978,sender fan-out (30d),2.556,3277.26,False positive,Normal_Foward
2686,7562856,0.978,beneficiary payment count (7d),1.822,8072.14,False positive,Normal_Plus_Mutual
2687,9009465,0.978,beneficiary payment count (7d),1.669,7631.31,False positive,Normal_Plus_Mutual
2688,9061364,0.978,sender velocity (30d),1.655,6963.74,False positive,Normal_Plus_Mutual
2689,9213222,0.978,beneficiary payment count (7d),1.765,4675.57,True positive,Structuring
2690,8233058,0.978,beneficiary payment count (7d),1.445,8761.26,False positive,Normal_Mutual
2691,8501738,0.9779,beneficiary payment count (7d),1.758,5351.32,False positive,Normal_Mutual
2692,7802308,0.9779,sender fan-out (30d),1.968,6224.9,True positive,Deposit-Send
2693,9425339,0.9779,beneficiary payment count (7d),1.86,4335.98,False positive,Normal_Plus_Mutual
2694,7107082,0.9779,beneficiary payment count (7d),1.485,5273.45,False positive,Normal_Plus_Mutual
2695,8901105,0.9779,sender velocity (30d),1.506,7982.95,False positive,Normal_Plus_Mutual
2696,7958484,0.9779,sender velocity (30d),1.816,5178.09,False positive,Normal_Plus_Mutual
2697,8529775,0.9778,sender fan-out (30d),2.275,8633.97,True positive,Scatter-Gather
2698,7108279,0.9778,beneficiary payment count (7d),2.062,8477.85,False positive,Normal_Plus_Mutual
2699,9334549,0.9778,beneficiary payment count (7d),2.625,1901.11,False positive,Normal_Group
2700,7317415,0.9778,sender velocity (30d),1.807,7903.47,True positive,Structuring
2701,7299667,0.9778,beneficiary payment count (7d),1.882,3209.96,True positive,Structuring
2702,9383326,0.9777,beneficiary payment count (7d),1.941,63111.48,False positive,Normal_Mutual
2703,8079263,0.9777,beneficiary payment count (7d),2.022,9196.9,False positive,Normal_Group
2704,7150440,0.9777,sender velocity (30d),1.59,8312.78,False positive,Normal_Plus_Mutual
2705,7634931,0.9777,sender fan-out (7d),1.767,6026.81,False positive,Normal_Group
2706,7273214,0.9776,sender velocity (30d),1.867,4157.39,False positive,Normal_Mutual
2707,7914040,0.9776,sender fan-out (30d),2.525,14861.81,False positive,Normal_Small_Fan_Out
2708,9205875,0.9776,beneficiary payment count (7d),1.801,40136.65,False positive,Normal_Plus_Mutual
